config,min_size,min_samples,metric,eps,min_df,max_df,Silhouette Score,Topic Coherence,Total Topics
222,20,10,cosine,0.7,4,300,0.050005544,0.580886314611393,13
223,20,10,cosine,0.7,4,400,0.044180308,0.520879958206253,11
224,20,10,cosine,0.7,4,500,0.05672476,0.583083194617086,14
225,20,10,cosine,0.7,4,600,0.04257869,0.52962502693755,12
226,20,10,cosine,0.7,4,700,0.052662045,0.570203580679515,13
227,20,10,cosine,0.7,5,300,0.05063822,0.502324166176646,13
228,20,10,cosine,0.7,5,400,0.046145782,0.527175639416365,14
229,20,10,cosine,0.7,5,500,0.058022782,0.564898979619831,13
230,20,10,cosine,0.7,5,600,0.050024886,0.522397297816507,14
231,20,10,cosine,0.7,5,700,0.05304685,0.536602120209934,13
232,20,20,cosine,0.5,2,300,0.07478795,0.627450484896128,9
233,20,20,cosine,0.5,2,400,0.030594934,0.650424234275612,4
234,20,20,cosine,0.5,2,500,0.031078015,0.629838775904084,5
235,20,20,cosine,0.5,2,600,0.03196893,0.639878470310969,5
236,20,20,cosine,0.5,2,700,0.06780642,0.627037266626652,9
237,20,20,cosine,0.5,3,300,0.06530073,0.521266780958515,8
238,20,20,cosine,0.5,3,400,0.059812386,0.51229048291761,9
239,20,20,cosine,0.5,3,500,0.030924177,0.544604638695807,5
240,20,20,cosine,0.5,3,600,0.03194158,0.538772258039711,5
241,20,20,cosine,0.5,3,700,0.031586777,0.527263098765964,5
242,20,20,cosine,0.5,4,300,0.070297144,0.505922064396912,9
243,20,20,cosine,0.5,4,400,0.031690363,0.509897900980616,5
244,20,20,cosine,0.5,4,500,0.06754725,0.563046968844127,8
245,20,20,cosine,0.5,4,600,0.032707937,0.542557645361121,5
246,20,20,cosine,0.5,4,700,0.031583745,0.531993737514575,5
247,20,20,cosine,0.5,5,300,0.06610557,0.604669067218783,9
248,20,20,cosine,0.5,5,400,0.032920305,0.576986989781684,5
249,20,20,cosine,0.5,5,500,0.068668395,0.56789445305227,9
250,20,20,cosine,0.5,5,600,0.031678136,0.581662186222609,5
251,20,20,cosine,0.5,5,700,0.032613553,0.561204173006696,5
252,20,20,cosine,0.6,2,300,0.05983246,0.567720231768496,13
253,20,20,cosine,0.6,2,400,0.05526146,0.563289528831737,12
254,20,20,cosine,0.6,2,500,0.043373026,0.538516164477785,11
255,20,20,cosine,0.6,2,600,0.059760317,0.589456488963127,12
256,20,20,cosine,0.6,2,700,0.06344269,0.598849390072658,13
257,20,20,cosine,0.6,3,300,0.04209996,0.552678876999164,12
258,20,20,cosine,0.6,3,400,0.051418774,0.547809760656928,13
259,20,20,cosine,0.6,3,500,0.049269963,0.531722653796433,12
260,20,20,cosine,0.6,3,600,0.054893795,0.576035400626586,12
261,20,20,cosine,0.6,3,700,0.042122763,0.528544193111875,11
262,20,20,cosine,0.6,4,300,0.05546923,0.513594153626317,13
263,20,20,cosine,0.6,4,400,0.05466096,0.493872570888018,12
264,20,20,cosine,0.6,4,500,0.05358781,0.586777973660152,12
265,20,20,cosine,0.6,4,600,0.05721244,0.587152898533724,13
266,20,20,cosine,0.6,4,700,0.05576228,0.545722884254089,12
267,20,20,cosine,0.6,5,300,0.05570806,0.553525840825455,12
268,20,20,cosine,0.6,5,400,0.043544404,0.564060618474445,11
269,20,20,cosine,0.6,5,500,0.05209314,0.537536956121968,13
270,20,20,cosine,0.6,5,600,0.05196946,0.535150256642255,13
271,20,20,cosine,0.6,5,700,0.04143141,0.557943091892682,11
272,20,20,cosine,0.7,2,300,0.045475658,0.5461981820512,13
273,20,20,cosine,0.7,2,400,0.050366066,0.557750679721412,14
274,20,20,cosine,0.7,2,500,0.04991404,0.551497162532847,12
275,20,20,cosine,0.7,2,600,0.047309283,0.539563729744107,15
276,20,20,cosine,0.7,2,700,0.048874635,0.554857395227754,13
277,20,20,cosine,0.7,3,300,0.048379738,0.517291684373502,14
278,20,20,cosine,0.7,3,400,0.04313709,0.543472115879611,12
279,20,20,cosine,0.7,3,500,0.041244198,0.553981036536696,13
280,20,20,cosine,0.7,3,600,0.051216993,0.523593237404863,14
281,20,20,cosine,0.7,3,700,0.042742852,0.545362166059458,12
282,20,20,cosine,0.7,4,300,0.044040963,0.534100914887402,12
283,20,20,cosine,0.7,4,400,0.051326733,0.579206714083264,13
284,20,20,cosine,0.7,4,500,0.047662802,0.524875531604085,13
285,20,20,cosine,0.7,4,600,0.052599415,0.535359725212349,13
286,20,20,cosine,0.7,4,700,0.054064438,0.546476994981161,13
287,20,20,cosine,0.7,5,300,0.054137588,0.537913771521639,13
288,20,20,cosine,0.7,5,400,0.05126866,0.535546217079869,13
289,20,20,cosine,0.7,5,500,0.052532278,0.511473548972084,13
290,20,20,cosine,0.7,5,600,0.053347737,0.557660066940377,13
291,20,20,cosine,0.7,5,700,0.04243504,0.537146397045444,11
292,20,30,cosine,0.5,2,300,0.029992368,0.604894904799741,2
293,20,30,cosine,0.5,2,400,0.03280945,0.604894904799741,3
294,20,30,cosine,0.5,2,500,0.033017118,0.604894904799741,3
295,20,30,cosine,0.5,2,600,0.072672576,0.634870384060194,7
296,20,30,cosine,0.5,2,700,0.03261769,0.634481213054431,3
297,20,30,cosine,0.5,3,300,0.03157451,0.548896918866806,3
298,20,30,cosine,0.5,3,400,0.03213709,0.52172200989111,3
299,20,30,cosine,0.5,4,400,0.059529223,0.598861242971322,6
300,20,30,cosine,0.5,4,700,0.0772184,0.524887530655123,7
301,20,30,cosine,0.5,5,400,0.07006192,0.546545455731993,7
302,20,30,cosine,0.5,5,500,0.07565656,0.536679045481793,8
303,20,30,cosine,0.5,5,700,0.06948319,0.542665572998447,7
304,20,30,cosine,0.6,2,300,0.04753946,0.558056663562127,12
305,20,30,cosine,0.6,2,400,0.055279057,0.619945614257015,13
306,20,30,cosine,0.6,2,500,0.05330176,0.584926084021423,12
307,20,30,cosine,0.6,2,600,0.04832123,0.5596159977809,11
308,20,30,cosine,0.6,2,700,0.054260336,0.596089262967252,13
309,20,30,cosine,0.6,3,300,0.056999918,0.539106279039912,13
310,20,30,cosine,0.6,3,400,0.050369125,0.560461952992111,12
311,20,30,cosine,0.6,3,500,0.060458485,0.545315113223148,13
312,20,30,cosine,0.6,3,600,0.051938586,0.540126208338819,12
313,20,30,cosine,0.6,3,700,0.05124597,0.570485883854323,12
314,20,30,cosine,0.6,4,300,0.05651113,0.570619962943423,12
315,20,30,cosine,0.6,4,400,0.053585693,0.554125993117927,12
316,20,30,cosine,0.6,4,500,0.055320825,0.565225605550702,13
317,20,30,cosine,0.6,4,600,0.04534637,0.550820767808434,11
318,20,30,cosine,0.6,4,700,0.05726545,0.572693082733075,14
319,20,30,cosine,0.6,5,300,0.058260456,0.544062960852623,12
320,20,30,cosine,0.6,5,400,0.053758055,0.553012302364519,13
321,20,30,cosine,0.6,5,500,0.046271313,0.561540587801894,11
322,20,30,cosine,0.6,5,600,0.046811413,0.573436387255275,11
323,20,30,cosine,0.6,5,700,0.041253526,0.554771915656801,11
324,20,30,cosine,0.7,2,300,0.040000983,0.580535128198992,12
325,20,30,cosine,0.7,2,400,0.039750427,0.519201592106041,12
326,20,30,cosine,0.7,2,500,0.054444265,0.56387433097151,13
327,20,30,cosine,0.7,2,600,0.05536666,0.54980245598078,15
328,20,30,cosine,0.7,2,700,0.046714514,0.561679149302578,13
329,20,30,cosine,0.7,3,300,0.05318935,0.49836664105003,13
330,20,30,cosine,0.7,3,400,0.04432223,0.561986712333153,12
331,20,30,cosine,0.7,3,500,0.052943453,0.5506965855995,13
332,20,30,cosine,0.7,3,600,0.054627504,0.557807660506632,12
333,20,30,cosine,0.7,3,700,0.050978247,0.553992317284633,12
334,20,30,cosine,0.7,4,300,0.043805685,0.560456373353749,13
335,20,30,cosine,0.7,4,400,0.047121618,0.539316206618762,12
336,20,30,cosine,0.7,4,500,0.053450942,0.523806951747001,14
337,20,30,cosine,0.7,4,600,0.046025053,0.526641375335139,12
338,20,30,cosine,0.7,4,700,0.04420363,0.525659729465211,12
339,20,30,cosine,0.7,5,300,0.053616855,0.552998782699675,13
340,20,30,cosine,0.7,5,400,0.050499137,0.552173394081307,13
341,20,30,cosine,0.7,5,500,0.0438121,0.554529672697086,12
342,20,30,cosine,0.7,5,600,0.051927257,0.555513543414249,14
343,20,30,cosine,0.7,5,700,0.051707614,0.532238822059023,12
344,30,10,cosine,0.5,2,300,0.06384684,0.656319707781208,11
345,30,10,cosine,0.5,2,400,0.06480092,0.640122118130598,10
346,30,10,cosine,0.5,2,500,0.05865462,0.613147715798923,11
347,30,10,cosine,0.5,2,600,0.060945466,0.634134895439841,11
348,30,10,cosine,0.5,2,700,0.05542759,0.55792510489999,10
349,30,10,cosine,0.5,3,300,0.051005725,0.627533217542622,9
350,30,10,cosine,0.5,3,400,0.059404366,0.605817901459311,11
351,30,10,cosine,0.5,3,500,0.06303471,0.601007308225216,11
352,30,10,cosine,0.5,3,600,0.060497046,0.588586792310036,12
353,30,10,cosine,0.5,3,700,0.06311834,0.566215220702707,10
354,30,10,cosine,0.5,4,300,0.065488406,0.56104410656789,12
355,30,10,cosine,0.5,4,400,0.059858438,0.567976072272287,11
356,30,10,cosine,0.5,4,500,0.059913926,0.600197266173287,11
357,30,10,cosine,0.5,4,600,0.06252847,0.577492961867218,11
358,30,10,cosine,0.5,4,700,0.07175801,0.583786520773845,12
359,30,10,cosine,0.5,5,300,0.055571236,0.606126480950412,9
360,30,10,cosine,0.5,5,400,0.06416418,0.559469270856627,10
361,30,10,cosine,0.5,5,500,0.0634515,0.561444253800364,11
362,30,10,cosine,0.5,5,600,0.055277422,0.588414841735339,9
363,30,10,cosine,0.5,5,700,0.05742066,0.552627983235242,10
364,30,10,cosine,0.6,2,300,0.053800885,0.537176559612307,13
365,30,10,cosine,0.6,2,400,0.05513733,0.584032091896355,14
366,30,10,cosine,0.6,2,500,0.0516963,0.594650260003289,12
367,30,10,cosine,0.6,2,600,0.049611196,0.578034973197364,11
368,30,10,cosine,0.6,2,700,0.054043666,0.575303099761209,12
369,30,10,cosine,0.6,3,300,0.056343254,0.528964541715401,13
370,30,10,cosine,0.6,3,400,0.059020493,0.561149809014229,14
371,30,10,cosine,0.6,3,500,0.05568311,0.528045255519586,12
372,30,10,cosine,0.6,3,600,0.051735345,0.540232017007709,12
373,30,10,cosine,0.6,3,700,0.042725116,0.546534456631412,11
374,30,10,cosine,0.6,4,300,0.041061576,0.502685164037336,12
375,30,10,cosine,0.6,4,400,0.054757573,0.561985525675639,12
376,30,10,cosine,0.6,4,500,0.045435727,0.515499718710905,12
377,30,10,cosine,0.6,4,600,0.05563864,0.580237651560887,12
378,30,10,cosine,0.6,4,700,0.055164937,0.520282142505202,13
379,30,10,cosine,0.6,5,300,0.058952574,0.548519786179608,12
380,30,10,cosine,0.6,5,400,0.06033844,0.510135559272225,13
381,30,10,cosine,0.6,5,500,0.052216437,0.537183276088338,12
382,30,10,cosine,0.6,5,600,0.05899442,0.5482501017796,13
383,30,10,cosine,0.6,5,700,0.046712615,0.528283430567863,11
384,30,10,cosine,0.7,2,300,0.051636964,0.565333569862623,13
385,30,10,cosine,0.7,2,400,0.053379074,0.559427367797914,13
386,30,10,cosine,0.7,2,500,0.052011564,0.539987776526603,14
387,30,10,cosine,0.7,2,600,0.048314296,0.550964201794809,13
388,30,10,cosine,0.7,2,700,0.05622409,0.551684467794933,15
389,30,10,cosine,0.7,3,300,0.052460093,0.538620943352558,13
390,30,10,cosine,0.7,3,400,0.05590282,0.561532180149213,15
391,30,10,cosine,0.7,3,500,0.051711153,0.517411677060354,14
392,30,10,cosine,0.7,3,600,0.047843162,0.547955895392067,12
393,30,10,cosine,0.7,3,700,0.056073476,0.591522037344028,14
394,30,10,cosine,0.7,4,300,0.038201377,0.48237152996244,12
395,30,10,cosine,0.7,4,400,0.042188678,0.555159988122717,13
396,30,10,cosine,0.7,4,500,0.055508427,0.507091034644476,14
397,30,10,cosine,0.7,4,600,0.04304799,0.522051371568208,12
398,30,10,cosine,0.7,4,700,0.05656052,0.531359823143955,13
399,30,10,cosine,0.7,5,300,0.056106165,0.552351087252912,13
400,30,10,cosine,0.7,5,400,0.051811036,0.549646701169753,13
401,30,10,cosine,0.7,5,500,0.05306881,0.536357095455082,13
402,30,10,cosine,0.7,5,600,0.052292377,0.531742996670789,13
403,30,10,cosine,0.7,5,700,0.056015987,0.524722700686468,13
404,30,20,cosine,0.5,2,300,0.03175959,0.639878470310969,5
405,30,20,cosine,0.5,2,400,0.031543,0.644979591004705,5
406,30,20,cosine,0.5,2,500,0.03182915,0.640772277253917,5
407,30,20,cosine,0.5,2,600,0.07835566,0.561046873727727,10
